idx,50,98,54,6,34,66,63,52,39,62,46,75,28,65,18,37,85,13,80,33,69,78,19,40,82,10,43,61,88,89
0,,,,,,,0.46,,,0.42,,0.32,,,,,,,,,,,,,,0.65,,,,
1,0.25,,,,,,,,,,,,0.27,0.33,,0.33,,,,,,0.25,,0.41,,,,0.26,0.21,
2,,,0.49,0.39,,,,,,,,,0.45,0.47,,,,0.4,,,,,,,,,,,0.38,
3,0.27,0.16,,0.26,,0.23,,,,,0.33,,,,,,,0.24,,,0.28,,,,,,,,,
4,0.73,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,0.65
5,,0.58,0.5,,,,,,,,,,0.44,,,0.46,0.51,,0.47,,0.43,0.42,,,,,,,,
6,,,,,,,0.36,,,,,,,,,,,,,,,,,,,0.37,,,,
7,,,,,,,,,,,,,,,,,,,0.21,,,,0.29,,,,0.32,,0.24,
8,,0.2,0.36,,,,,,,0.46,,0.17,,,0.32,,,,,,0.38,,,0.22,,0.3,,,,
9,,,,0.34,0.35,,,0.32,,,,,0.33,,0.29,,,,,,,,0.26,,,,,0.31,,
10,0.36,0.2,0.33,,,0.33,,,,,,,,0.54,,,0.32,,,,,,,,,,,,,
11,0.37,0.41,,,0.38,0.36,,,,,,,,0.39,,,0.36,,,,,,0.43,,,,,0.35,,
12,,,0.26,,,,0.28,0.2,,,,,0.29,,,,,,0.27,,,,,0.19,,,,,0.2,
13,,,,,,,,,,,,,,,,,,,,0.39,0.31,0.3,0.28,,0.3,,0.34,,,
14,,0.21,0.31,,,0.25,0.29,,,,,,,,,,,,,,,,,,0.21,,,,,
15,,,,0.52,,,,,,0.47,,,0.23,0.55,0.52,0.48,,,0.46,,,,,0.47,0.38,0.64,,,,0.55
16,,,,,,,,,,,,0.12,,,,,,,,,,,,0.35,,,,,,
17,,0.19,0.32,,,,,,,,,,,0.35,,,0.31,,0.33,,0.32,,0.33,,0.31,0.28,,,,
18,,,0.39,,,,,,,,,,,,,0.36,,0.35,,,,0.27,,,,,,,0.27,
19,0.32,,0.33,,0.36,,,0.38,0.26,0.31,0.25,,,,,0.35,,,,0.37,,0.31,,,0.32,,,,,0.32
20,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.77,,0.53
21,,,,,,,0.48,0.65,,,0.25,,,,0.59,,,,,,,,,,,,,,,
22,,,,,,,,,,0.47,,,,0.56,0.5,,,,0.44,,,,0.41,,,,,0.42,0.33,
23,,,,,,,,0.65,,0.43,,,,,,,,0.48,,0.49,,,,,,0.61,,,,
24,,,,0.47,0.23,,,0.57,,,,0.48,,,,,0.46,,0.34,0.49,,,,,,,,,,0.44
25,,,,,,,,,0.28,,,,,,,,,,0.25,,,,,0.36,,0.32,,,,
26,,,,,,,,,0.3,,,,,,0.27,,,,,,,,,,0.34,,,0.37,,
27,,0.45,,0.44,,,,,,,0.5,,0.35,,,0.38,,,,,,0.49,,,,,,,,
28,0.58,,,,,,,0.63,0.41,,0.35,,,,0.69,,0.58,,,,,,,,0.32,,0.55,0.54,,
29,,,,,,0.17,,,,0.32,,,0.26,,,,,,0.21,,,,,0.25,,,,,0.22,
30,,0.2,,0.2,,,,0.24,0.35,,,,,,,0.21,,,0.23,0.19,,,,,,0.19,,0.21,,
31,,,,,,,,,0.3,,,,0.3,,,0.27,,,,0.29,0.38,0.23,,0.29,,,,,,
32,,,,,,,,,,,0.32,,0.46,,0.39,,0.38,,,,,,0.36,,,,,,,
33,,,0.32,,,0.29,,0.32,0.29,,,,,,,,,,,,,,,,,,,,0.29,
34,,,,,,,0.29,,0.3,,,,,,0.22,,,,,,,,,0.25,,,,,,
35,,,0.5,,,,,,,,,,,,,,,,0.44,,,,0.36,,,0.55,,,,
36,,,0.43,,,0.32,,0.28,,,,0.17,,,,,,0.32,,0.37,,,,,0.15,0.16,0.33,0.34,,
37,,,0.42,,,,0.41,,0.37,0.42,,,,,0.53,0.44,,,,,,,,,,,0.41,,,
38,,,0.5,,,0.39,0.48,,0.47,,,0.32,,,,,,,0.45,,,,,,,,0.42,,0.41,
39,,,,,,,,,,,,,,,,0.15,,0.16,,,,,0.23,,,,,,0.31,
40,,,,0.36,0.35,,,,,,,,,,0.36,,,,,,,,0.36,,0.33,0.36,,,,0.38
41,,0.47,,,0.52,,,,,0.44,,,,,,,,0.42,,,,,,,,,,0.39,,
42,,,,0.47,,,,,0.37,0.51,,0.46,0.45,,0.39,,,,,,,,,,0.4,,,,,
43,,,0.28,,,,,,,0.25,,,,,,0.22,,,,,0.3,,,,,,,,,
44,,,,,0.36,,0.33,,,,,0.24,,0.42,0.31,0.31,,0.28,,0.36,,,0.34,0.31,,,,0.35,,
45,0.39,,,,0.32,0.29,,0.51,0.36,,,,,,,,,,,0.33,,0.55,,,,,,,,
46,,0.27,,,0.34,0.3,,,,0.27,,,,,,,,0.27,,,,,,,,,0.3,,,
47,0.25,,,,,,,0.17,,,0.32,,0.28,,,0.23,,0.23,,0.26,0.29,,0.3,,,,,,,0.25
48,,0.26,0.33,,,,,,,,,,0.4,,,,,,,0.25,,0.24,,,,,,,,
49,,,,,,,0.29,,,0.26,,,0.39,0.26,0.29,0.3,0.29,0.27,,,0.28,,,,,,,,,
50,,,0.41,0.3,,,,,,,,0.49,,,,,,,,,,,,,0.52,,,,,
51,0.36,,,0.32,,,0.33,,,,,0.15,,0.35,,0.38,,,,,,,,,,,,,,0.3
52,,,,,,0.23,,,,,,,,,,,0.24,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,0.29,0.22,,,,0.23,,,,0.19,,,,
54,,,,,,,,0.13,0.26,0.34,,0.3,,,,,0.23,0.3,,,,,,0.16,,,,,,0.16
55,,,,,0.17,,,,,,,,,,,,,,,,,0.64,,,0.44,0.57,,,0.34,
56,,,0.44,,,,,,0.38,0.4,0.47,,,,,,,,,,,0.55,,0.42,0.45,,0.45,,,0.42
57,0.24,,,0.27,,0.24,,,0.17,,0.12,,,,,,,,,0.25,,,0.27,0.14,0.13,,,,,
58,0.25,0.18,,,,,,,,,,0.31,,,,,,,,0.23,,,,,,,0.24,,,
59,,,,,,0.39,0.37,,,,,,,,0.44,,,,,,,,,,,0.57,0.38,0.34,,0.39
60,,,,,,,,,,,0.51,,,,,,,,,,0.52,,,,0.48,,,,0.27,
61,,,,,,0.11,0.11,,,,0.45,,0.4,,,,,0.08,,,,0.22,,,,,,,0.31,
62,0.24,,,0.3,,,,0.28,,,,,,,,,0.28,,,0.34,,,,,,,,,,0.29
63,,,,,,,,,,,,,,0.58,,,0.48,,,,,,0.45,,,,,,,
64,,0.16,,,,0.21,0.27,,,0.29,,,0.39,,,,,0.27,,,0.27,,0.27,,,,0.29,,,
65,0.21,,,,,,,,,,,,,,0.23,,,0.24,,,,,,,,0.21,0.23,,,
66,,,,,,,,,,,,0.37,0.41,,,,,,,,,,0.34,,,,0.35,0.32,0.39,
67,,,,0.15,,,,0.22,,,,,,,0.2,,,,,,,0.28,,0.25,,0.15,,,,
68,,,,,0.35,,,,,,0.47,,,,,,0.49,,0.46,0.47,,,,,,,0.36,,,
69,0.32,,,,0.36,,,,,,,,,,,,,,0.36,0.36,,,,,,,0.32,,,
