idx,50,98,54,6,34,66,63,52,39,62,46,75,28,65,18,37,85,13,80,33,69,78,19,40,82,10,43,61,88,89
0,,,,,0.81,,0.73,,,,,0.73,,0.72,,,,,0.72,,0.8,,,,,,,,,0.7
1,,0.45,0.28,,,,,0.48,0.38,0.33,,0.37,,0.27,0.34,,,0.45,,,,0.36,0.42,0.32,,,,,,
2,,,,,,,,,,,0.75,,,,,,,,,,,,0.74,,,,0.77,,,
3,,,,,,,0.76,,,0.71,,0.76,,,,,,,,,,,,,,0.72,,,,
4,,,0.53,0.75,,,,,,,0.6,,0.77,0.59,,,,0.61,,,,,,,,,,,0.58,
5,0.73,0.67,,,0.69,0.78,,,,,0.79,,,,,,,0.78,,,0.74,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,0.67,,,,0.72,0.71,0.65,,,,0.77,
7,,,,,,,,,0.65,,0.7,,,,,,,0.72,,,,,,,,,,,0.7,
8,,,,,,,,,,,,,0.22,,0.24,,,,0.27,0.26,0.31,0.21,,,0.28,,,,,
9,0.37,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,0.35,,0.33
10,,,,,,,0.32,,,,,,0.27,,,,,,0.3,,,,0.37,,,,,,,
11,,0.5,,,,,,,,,0.67,,,,,,,,,,,,,,0.64,,,,0.62,
12,,,,,,,0.38,,,,,,,,0.4,,0.4,,,,,0.47,,,,0.41,,,,
13,,,,,0.6,,,0.76,,,,,0.78,,,,,,,,,,,,,,,0.7,0.49,
14,0.78,,,,,,,,,,,,,,0.76,,,,0.73,,,,,,0.67,,,0.8,,
15,0.36,0.49,0.54,,,0.54,0.36,0.62,,,,,,0.51,,,0.39,,,,,,,,,,,,,
16,,,,,,,,,,0.54,,,,0.44,,,,,0.36,,,0.42,,,,,,,,
17,,,,,,,,,,,,,0.19,,,0.31,,0.18,0.23,0.18,,,,0.21,,,,,0.19,
18,0.72,,,0.8,,0.64,,,,,,,,,,0.81,0.67,,,,,,,,0.67,,,,0.62,
19,,,,0.78,,,,,0.54,,,,0.78,,0.71,0.83,,,0.66,,,,,0.62,,0.63,,,,
20,,0.35,0.32,,,0.35,,,,,,,,,,,0.3,,0.31,,0.34,,0.35,,0.43,0.27,,,,
21,,,,,,,,,,,,0.29,,,,,,,0.3,0.3,,,0.41,,,,,0.38,0.47,
22,,,,,,,,0.48,,0.49,,,,,0.36,,,0.44,,,,,,,,,,,0.38,
23,,,,,,0.38,,,,,,,,0.32,,,0.41,,,,0.34,,0.44,,,,,,,
24,,,,,,0.38,,,0.63,0.55,,,0.37,,,,0.34,,,,,0.36,,0.54,,,,,,
25,,,0.16,,,,,0.28,0.27,,,,,,0.28,,,,,,,,,,,0.25,,,,
26,,0.61,,0.8,,,,,,,,,0.77,,,0.68,,,,,,,,,,,,,,
27,,,,,,,0.22,,,,,0.19,,,0.19,,,,,,0.18,,,0.14,,,,,,
28,,,,,,,,,,,,,0.52,,,,,,,,,,0.58,,,,0.4,,,
29,,0.65,,,,,,,,,,,,0.71,,,,,0.47,0.57,,,,,0.45,,,,,
30,,,,,,,,,,,,,,,0.33,,,,,,,,,,,0.35,0.32,,,
31,,,0.23,0.38,,,,0.2,,,,,,0.23,0.3,,,,0.32,,,,0.26,,,0.24,,0.2,,
32,,,0.32,,,,,0.4,,,,0.29,,,,,,0.32,,0.29,,,,,0.33,0.24,0.33,0.25,0.31,
33,,,0.51,,,,0.43,,,0.37,,,,,,0.45,,,,,,,,,,,,,,
34,,,,,0.71,,,,,0.7,,,,,,,,,,,,,,,,,,0.67,,
35,,,,,0.49,,,,,0.45,,,,,,,0.59,0.39,,,,,,,,0.49,,,,
36,,,0.58,,,,,,0.6,,,0.59,,0.57,,0.67,,,,,0.62,,,,,,0.63,,,0.64
37,,0.34,,,,,,0.41,,,0.38,,,,,0.25,,,0.31,,,,,0.39,,,,,,0.33
38,0.38,0.61,,,,,0.36,,0.66,,0.59,,,,,,,,,,,,,,,,,0.63,,0.38
39,,,,,,0.32,0.42,,,,,,,0.41,0.43,0.44,,,,,,,,,,,,,,
40,,,,,,,,0.35,,,,,0.31,,,,,0.4,,,0.5,,,,,,0.35,,,
41,,0.55,,,,0.37,0.33,,,,0.57,,,,0.38,0.39,,,0.42,,,,,,,0.48,0.39,,,
42,,0.46,,0.43,0.55,,0.4,,,,,0.41,,,0.35,0.49,0.43,,,,,,0.33,0.44,0.42,,,,,0.42
43,,,,,0.7,0.55,,0.66,,,,,,,,,,,,0.52,,,,,,,,,,
44,,,,,0.09,,,,,0.14,,,,,0.15,,,,,,0.13,,,,,,0.17,,,
45,0.75,,,,,,,0.78,,,0.78,,0.79,0.75,,0.83,,0.75,,,0.79,,0.77,0.79,,,,,,0.72
46,,0.3,0.17,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,
47,,,0.17,,,,,,,0.19,,,,,,,,0.17,0.25,,0.17,,,,,,,,,
48,,0.52,0.46,0.78,,,,0.72,,,,0.72,,,,,,,,,,,,,0.64,0.47,,,,
49,0.31,,0.21,,,0.37,,,,,0.29,,,0.24,,,0.44,,,,,,,,,0.26,,,,
50,0.42,,0.42,0.36,,,0.3,0.4,,,,0.39,0.34,0.47,,0.26,,,,,,,,,,,,,,0.38
51,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,0.25,,,,,,,0.2,,0.25,,0.24,,,,,,,0.25,,,,,0.3,,,
53,,,,,0.27,,,,,,,,,0.26,,,,,,,,0.28,,,0.27,,,,,0.31
54,0.48,0.5,0.52,,,,0.43,,0.58,0.53,0.57,,,0.48,,,0.49,,,,,,,0.44,,0.58,,,,0.5
55,0.46,,,0.4,,,,,0.66,,0.64,,,,0.4,0.3,,,,0.47,,,,,0.42,,,,,0.34
56,,,,,,0.7,0.71,,,,0.69,,0.57,,,,,,,,,0.69,,,,,0.58,,0.62,
57,,,,0.17,,,,,,,,0.22,,,,,,0.17,,,,,0.28,,,,,,,
58,,0.59,,0.7,,,,0.74,,,0.68,0.75,0.75,,,0.76,,0.67,,,,,0.64,0.6,,,,,0.68,
59,,,,0.81,,0.7,,,,,,,,,,0.8,,,,,0.76,,,,,,,,,
60,0.43,,,,,,,0.6,,,,,,,,,,,,0.44,,,,,,0.49,,,,
61,,0.73,,,0.86,,0.62,,,,0.81,0.59,,,,,,,,,,,,,,,,,,
62,,,,0.35,,,,0.44,,,,,,,,,,,0.33,,,,,,,,,,,
63,,0.5,,,,0.38,,0.58,,,,0.36,,,,,,0.5,,,,,,,,,0.39,0.65,0.64,
64,,,0.32,,0.29,,,0.58,0.32,,,,,,,,0.45,0.45,,,0.39,,0.43,,,0.44,,0.44,0.33,
