idx,50,98,54,6,34,66,63,52,39,62,46,75,28,65,18,37,85,13,80,33,69,78,19,40,82,10,43,61,88,89
0,0.87,,0.93,,,,,,0.89,0.94,,,,,,,,0.88,,,,,,,0.93,,,,,
1,,,,,,,0.7,,,0.71,,0.74,,,,,,,,,,,,,,0.83,,,,
2,,,,,0.92,,0.93,,,,,,,,,,,,,,0.93,0.93,,,,0.94,,0.92,0.91,
3,,,,,,,0.81,,,,,,0.8,,,,,,,,,,0.84,,,0.84,,0.82,,
4,,,0.54,,,,,0.57,,0.55,,0.57,0.5,,,0.58,,,0.52,,0.57,0.46,0.56,,,,,,0.53,
5,0.84,0.87,,,0.84,0.85,,,,,,,,,,,,,0.83,,,,,,,,0.84,,0.84,
6,,0.94,,,,0.92,,,,,,0.94,,,,,0.93,,,,,,,,,,,,,0.92
7,,,,,0.63,0.58,,,,,,,,0.61,,,,0.55,,0.58,,,,0.57,,0.53,0.6,,,0.57
8,0.4,,,,,,,,,,,,0.54,0.41,,0.46,,,,,,0.48,,0.56,,,,0.48,0.44,
9,,,0.54,0.46,,,,,,,,,0.59,0.49,,,,0.53,,,,,,,,,,,0.48,
10,0.38,0.26,,0.33,,0.26,,,,,0.38,,,,,,,0.29,,,0.3,,,,,,,,,
11,,,,0.51,,,,,,,,,,,0.6,,,,,0.54,0.62,,,,,,,0.57,,
12,0.93,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,0.9
13,0.82,,,,,,,,,,,0.77,,,,,0.81,,,,,,0.83,,,,,,,
14,,,,0.85,,,,0.85,,,,,,,0.87,,,,,,,0.85,,,,0.9,0.85,0.86,,
15,,0.71,0.76,,,,,,,,,,0.72,,,0.72,0.72,,0.71,,0.77,0.65,,,,,,,,
16,,,,,,,0.48,,,,,,,,,,,,,,,,,,,0.5,,,,
17,,,,,,,,,,,,,,,,,,,0.31,,,,0.36,,,,0.35,,0.4,
18,,,,,,,,,,,,,,,,,,,,,,,,,0.94,0.91,,0.9,,
19,,0.44,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,0.44,
20,,0.46,0.69,,,,,,,0.63,,0.47,,,0.59,,,,,,0.54,,,0.52,,0.65,,,,
21,,,,0.33,0.26,,,0.29,,,,,0.39,,0.34,,,,,,,,0.33,,,,,0.32,,
22,0.75,0.62,0.81,,,0.68,,,,,,,,0.82,,,0.75,,,,,,,,,,,,,
23,0.64,0.59,,,0.6,0.57,,,,,,,,0.55,,,0.59,,,,,,0.6,,,,,0.57,,
24,,,0.43,,,,0.51,0.47,,,,,0.5,,,,,,0.48,,,,,0.51,,,,,0.56,
25,,,,,,,,,,,,,,,,,,,,0.35,0.35,0.36,0.34,,0.4,,0.35,,,
26,,,,,,,,,,,,,0.83,,,,,0.82,,,,,,,,,,,,
27,,0.29,0.31,,,0.3,0.29,,,,,,,,,,,,,,,,,,0.26,,,,,
28,,,,0.84,,,,,,0.89,,,0.79,0.86,0.82,0.85,,,0.82,,,,,0.8,0.85,0.88,,,,0.81
29,,,,,,,,0.68,,,,,,,0.7,,,,,,,0.64,,,,,,,0.73,
30,,,,,,,,,,,,0.82,,,,,,,,,,,,0.81,,,,,,
31,,0.38,0.48,,,,,,,,,,,0.46,,,0.48,,0.43,,0.41,,0.44,,0.46,0.37,,,,
32,,,0.62,,,,,,,,,,,,,0.57,,0.54,,,,0.5,,,,,,,0.51,
33,0.63,,0.6,,0.59,,,0.61,0.61,0.62,0.51,,,,,0.6,,,,0.6,,0.55,,,0.66,,,,,0.59
34,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,0.92,,0.88
35,,,,,,,0.81,0.8,,,0.71,,,,0.8,,,,,,,,,,,,,,,
36,0.58,,0.51,,,,0.41,,,,,,,,,0.42,,,,,0.5,,,,,,,,,
37,,,,,,,,,,0.8,,,,0.72,0.71,,,,0.69,,,,0.7,,,,,0.68,0.69,
38,,,,,,,,0.84,,0.88,,,,,,,,0.84,,0.8,,,,,,0.87,,,,
39,,,,0.59,0.54,,,0.63,,,,0.66,,,,,0.57,,0.56,0.56,,,,,,,,,,0.59
40,,,,,,,,,0.42,,,,,,,,,,0.37,,,,,0.41,,0.37,,,,
41,,,,,,,,,0.62,,,,,,0.61,,,,,,,,,,0.7,,,0.62,,
42,,0.57,,0.61,,,,,,,0.63,,0.54,,,0.57,,,,,,0.59,,,,,,,,
43,0.89,,,,,,,0.88,0.88,,0.88,,,,0.9,,0.87,,,,,,,,0.9,,0.89,0.91,,
44,,,,,,0.3,,,,0.27,,,0.31,,,,,,0.3,,,,,0.32,,,,,0.23,
45,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0.31,,0.28,,,,0.4,0.32,,,,,,,0.26,,,0.34,0.31,,,,,,0.29,,0.3,,
47,,,,,,,,,0.32,,,,0.33,,,0.28,,,,0.29,0.34,0.27,,0.34,,,,,,
48,,,,0.7,,0.59,0.67,0.62,0.64,,0.57,,,,,,0.7,,,0.69,0.68,,,,,,0.66,0.6,0.61,0.68
49,,,,,,,,,,,0.52,,0.53,,0.53,,0.46,,,,,,0.51,,,,,,,
50,,,0.65,,,0.52,,0.58,0.53,,,,,,,,,,,,,,,,,,,,0.51,
51,,,,,,,0.3,,0.31,,,,,,0.3,,,,,,,,,0.32,,,,,,
52,,,0.7,,,,,,,,,,,,,,,,0.63,,,,0.58,,,0.65,,,,
53,,,0.36,,,0.3,,0.34,,,,0.33,,,,,,0.31,,0.39,,,,,0.33,0.21,0.34,0.33,,
54,,,0.83,,,,0.75,,0.76,0.83,,,,,0.77,0.8,,,,,,,,,,,0.79,,,
55,,,0.65,,,0.56,0.57,,0.57,,,0.53,,,,,,,0.62,,,,,,,,0.62,,0.61,
56,,,0.6,,,,,0.6,,0.68,,,,,0.62,0.61,,0.65,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,0.31,,0.37,,,,,0.37,,,,,,0.35,
58,,,,,0.72,0.72,,,0.71,,0.69,,,,0.71,,,,,,,,,,,,,0.68,,0.73
59,,,0.89,,,,,,,,,,,0.85,,0.81,,,,,,0.87,,,,,,,,
60,,,,0.47,0.53,,,,,,,,,,0.49,,,,,,,,0.53,,0.47,0.37,,,,0.43
61,,,,,,,0.98,,,,,0.97,,,,,,,0.97,,,,,,,,,,,
62,,0.67,,,0.67,,,,,0.69,,,,,,,,0.65,,,,,,,,,,0.63,,
63,,,,0.64,,,,,0.68,0.77,,0.72,0.63,,0.62,,,,,,,,,,0.64,,,,,
64,,,,,,0.26,,,0.31,0.3,,,0.28,,,0.23,,,0.29,,0.28,,,,,,,,,
65,,,0.36,,,,,,,0.26,,,,,,0.27,,,,,0.29,,,,,,,,,
66,,,,,0.66,,0.61,,,,,0.57,,0.67,0.6,0.59,,0.59,,0.61,,,0.61,0.61,,,,0.6,,
67,0.7,,,,0.67,0.59,,0.67,0.63,,,,,,,,,,,0.68,,0.67,,,,,,,,
68,,0.93,0.95,,,,,,,,,0.93,,,,,,0.94,,,,,,0.92,,,,,,
69,,0.27,,,0.29,0.29,,,,0.31,,,,,,,,0.32,,,,,,,,,0.29,,,
70,,,,,0.7,,,,,,,,,,,,,,,0.66,,,,0.63,,,,,,0.63
71,,0.91,,0.9,0.9,,,,0.88,,,0.86,,,0.91,,0.92,0.9,,0.89,,,,,,,,,,0.79
72,0.44,,,,,,,0.32,,,0.35,,0.43,,,0.38,,0.43,,0.39,0.43,,0.48,,,,,,,0.42
73,,0.36,0.36,,,,,,,,,,0.34,,,,,,,0.32,,0.48,,,,,,,,
74,,,,,,,0.33,,,0.27,,,0.35,0.28,0.33,0.32,0.31,0.35,,,0.33,,,,,,,,,
75,,,0.64,0.57,,,,,,,,0.64,,,,,,,,,,,,,0.61,,,,,
76,0.56,,,0.48,,,0.46,,,,,0.45,,0.44,,0.5,,,,,,,,,,,,,,0.42
77,,,,,,0.37,,,,,,,,,,,0.27,,,,,,,,,,,,,
78,,,,0.55,,,0.6,,,0.58,,,,,,,,,,,,,,,,,,,,0.5
79,,,,,,,,,,,,,,,,,0.56,0.45,,,,0.41,,,,0.48,,,,
80,,,,,,,,0.21,0.32,0.26,,0.26,,,,,0.36,0.27,,,,,,0.22,,,,,,0.26
81,,,0.5,,,0.5,,,,,,,,,,,,,,,,,0.5,0.44,,,,,,
82,,,,,0.83,,,,,,,,,,,,,,,,,0.84,,,0.88,0.86,,,0.87,
83,,,0.71,,,,,,0.65,0.66,0.76,,,,,,,,,,,0.73,,0.6,0.73,,0.69,,,0.65
84,,,,,,,,,,0.97,0.89,,,0.94,,,,,0.94,,,,,,,,0.93,,,
85,0.32,,,0.3,,0.23,,,0.31,,0.25,,,,,,,,,0.28,,,0.29,0.28,0.34,,,,,
86,0.25,0.2,,,,,,,,,,0.19,,,,,,,,0.2,,,,,,,0.22,,,
87,,,,,,0.47,0.51,,,,,,,,0.45,,,,,0.51,0.45,0.5,,0.43,0.53,,,,,
88,,,,,,0.47,0.43,,,,,,,,0.48,,,,,,,,,,,0.55,0.49,0.48,,0.47
89,,,,,0.96,0.95,,,0.96,,0.96,0.95,,,,,,0.97,0.95,,,,,,,,,,,0.93
90,,,,,,,,,,,0.76,,,,,,,,,,0.74,,,,0.68,,,,0.71,
91,,,0.93,,,,,,,,,,,,,,,,,,,,0.94,,,0.94,,,,
92,,0.65,,,,,,,,,,,,,0.68,,,,,,0.64,0.63,,,,,,,,
