idx,50,98,54,6,34,66,63,52,39,62,46,75,28,65,18,37,85,13,80,33,69,78,19,40,82,10,43,61,88,89
0,0.78,,0.86,,,,,,0.76,0.87,,,,,,,,0.76,,,,,,,0.84,,,,,
1,,,,,,,0.75,,,0.79,,0.74,,,,,,,,,,,,,,0.79,,,,
2,,,,,0.78,,0.9,,,,,,,,,,,,,,0.85,0.88,,,,0.83,,0.85,0.84,
3,,,,,,,0.87,,,,,,0.84,,,,,,,,,,0.83,,,0.82,,0.84,,
4,,,0.66,,,,,0.7,,0.66,,0.71,0.71,,,0.72,,,0.69,,0.69,0.73,0.64,,,,,,0.7,
5,0.81,0.83,,,0.79,0.82,,,,,,,,,,,,,0.81,,,,,,,,0.83,,0.82,
6,,0.89,,,,0.86,,,,,,0.84,,,,,0.87,,,,,,,,,,,,,0.9
7,,,,,0.68,0.66,,,,,,,,0.68,,,,0.66,,0.69,,,,0.6,,0.5,0.63,,,0.74
8,0.35,,,,,,,,,,,,0.33,0.27,,0.24,,,,,,0.31,,0.49,,,,0.52,0.34,
9,,,0.57,0.49,,,,,,,,,0.59,0.54,,,,0.52,,,,,,,,,,,0.46,
10,0.46,0.32,,0.44,,0.32,,,,,0.48,,,,,,,0.39,,,0.26,,,,,,,,,
11,,,,0.61,,,,,,,,,,,0.57,,,,,0.62,0.72,,,,,,,0.68,,
12,0.85,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,0.86
13,0.76,,,,,,,,,,,0.71,,,,,0.76,,,,,,0.76,,,,,,,
14,,,,0.76,,,,0.82,,,,,,,0.78,,,,,,,0.75,,,,0.83,0.81,0.82,,
15,,0.76,0.82,,,,,,,,,,0.75,,,0.69,0.65,,0.78,,0.8,0.67,,,,,,,,
16,,,,,,,0.52,,,,,,,,,,,,,,,,,,,0.49,,,,
17,,,,,,,,,,,,,,,,,,,0.28,,,,0.18,,,,0.29,,0.28,
18,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.78,,0.81,,
19,,0.27,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,0.33,
20,,0.55,0.76,,,,,,,0.57,,0.29,,,0.55,,,,,,0.53,,,0.48,,0.58,,,,
21,,,,0.48,0.42,,,0.32,,,,,0.52,,0.6,,,,,,,,0.37,,,,,0.28,,
22,0.65,0.55,0.8,,,0.67,,,,,,,,0.73,,,0.63,,,,,,,,,,,,,
23,0.7,0.57,,,0.6,0.66,,,,,,,,0.64,,,0.58,,,,,,0.65,,,,,0.41,,
24,,,0.6,,,,0.57,0.59,,,,,0.66,,,,,,0.65,,,,,0.66,,,,,0.68,
25,,,,,,,,,,,,,,,,,,,,0.4,0.38,0.43,0.46,,0.41,,0.32,,,
26,,,,,,,,,,,,,0.84,,,,,0.83,,,,,,,,,,,,
27,,0.22,0.23,,,0.26,0.36,,,,,,,,,,,,,,,,,,0.19,,,,,
28,,,,0.79,,,,,,0.89,,,0.81,0.82,0.77,0.78,,,0.83,,,,,0.83,0.83,0.81,,,,0.79
29,,,,,,,,0.64,,,,,,,0.7,,,,,,,0.68,,,,,,,0.62,
30,,,,,,,,,,,,0.66,,,,,,,,,,,,0.69,,,,,,
31,,0.42,0.51,,,,,,,,,,,0.51,,,0.5,,0.44,,0.42,,0.35,,0.55,0.32,,,,
32,,,0.72,,,,,,,,,,,,,0.46,,0.49,,,,0.38,,,,,,,0.46,
33,0.64,,0.54,,0.6,,,0.62,0.68,0.6,0.6,,,,,0.56,,,,0.68,,0.57,,,0.63,,,,,0.66
34,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,0.87,,0.82
35,,,,,,,0.77,0.8,,,0.81,,,,0.77,,,,,,,,,,,,,,,
36,0.52,,0.32,,,,0.4,,,,,,,,,0.36,,,,,0.4,,,,,,,,,
37,,,,,,,,,,0.87,,,,0.75,0.69,,,,0.76,,,,0.8,,,,,0.79,0.75,
38,,,,,,,,0.8,,0.87,,,,,,,,0.74,,0.67,,,,,,0.81,,,,
39,,,,0.64,0.58,,,0.67,,,,0.69,,,,,0.66,,0.65,0.5,,,,,,,,,,0.7
40,,,,,,,,,0.59,,,,,,,,,,0.36,,,,,0.42,,0.35,,,,
